Date,Deaths,Covid Cases,State 
9/15/2020,18,1317,Missouri
9/15/2020,5,156,West Virginia
9/14/2020,9,121,West Virginia
9/14/2020,8,845,North Carolina
9/14/2020,3,86,Montana
9/14/2020,4,46,Wyoming
9/14/2020,1,254,North Dakota
9/14/2020,9,1332,Missouri
9/14/2020,3,638,Minnesota
9/14/2020,10,1229,Michigan
9/14/2020,0,40,Maine
9/14/2020,1,536,Maryland
9/14/2020,0,227,Nebraska
9/14/2020,9,254,Massachusetts
9/14/2020,0,18,New Hampshire
9/14/2020,17,492,Louisiana
9/14/2020,4,334,New Jersey
9/14/2020,5,337,Kentucky
9/14/2020,2,100,New Mexico
9/14/2020,23,1513,Kansas
9/14/2020,4,277,Nevada
9/14/2020,1,736,Indiana
9/14/2020,4,583,New York
9/14/2020,5,1373,Illinois
9/14/2020,4,1079,Ohio
9/14/2020,0,112,Idaho
9/14/2020,0,869,Oklahoma
9/14/2020,6,386,Iowa
9/14/2020,2,147,Oregon
9/14/2020,2,112,Hawaii
9/14/2020,32,1182,Pennsylvania
9/14/2020,20,1023,Georgia
9/14/2020,0,32,Rhode Island
9/14/2020,36,1736,Florida
9/14/2020,13,816,South Carolina
9/14/2020,2,88,Delaware
9/14/2020,0,163,South Dakota
9/14/2020,0,30,Washington DC
9/14/2020,19,2450,Tennessee
9/14/2020,5,569,Connecticut
9/14/2020,21,4011,Texas
9/14/2020,0,417,Colorado
9/14/2020,3,563,Utah
9/14/2020,56,2855,California
9/14/2020,19,757,Virginia
9/14/2020,0,213,Arizona
9/14/2020,0,12,Vermont
9/14/2020,11,408,Arkansas
9/14/2020,15,312,Washington
9/14/2020,4,704,Alabama
9/14/2020,0,818,Wisconsin
9/14/2020,0,77,Alaska
9/14/2020,9,144,Mississippi
9/13/2020,1,1624,Wisconsin
9/13/2020,2,96,Montana
9/13/2020,12,254,Mississippi
9/13/2020,0,49,Wyoming
9/13/2020,5,1196,North Carolina
9/13/2020,13,723,Minnesota
9/13/2020,0,0,Michigan
9/13/2020,1,29,Maine
9/13/2020,2,577,Maryland
9/13/2020,14,286,Massachusetts
9/13/2020,0,426,North Dakota
9/13/2020,33,1281,Louisiana
9/13/2020,0,267,Nebraska
9/13/2020,3,530,Kentucky
9/13/2020,1,44,New Hampshire
9/13/2020,0,0,Kansas
9/13/2020,4,297,New Jersey
9/13/2020,1,1243,Indiana
9/13/2020,3,98,New Mexico
9/13/2020,14,1462,Illinois
9/13/2020,3,317,Nevada
9/13/2020,3,217,Idaho
9/13/2020,6,725,New York
